province,city,lat,lng,population,population_proper
Nova Scotia,Antigonish,45.616667,-61.966667,6739,5003
Manitoba,Flin Flon,54.766667,-101.883333,6393,6002
British Columbia,Fort Nelson,58.816667,-122.533333,6315,6315
British Columbia,Smithers,54.766667,-127.166667,6245,5438
Nunavut,Iqaluit,63.733333,-68.5,6124,6124
New Brunswick,Bathurst,47.558376,-65.656517,6111,4496
Manitoba,The Pas,53.816667,-101.233333,6055,3802
Manitoba,Norway House,53.966667,-97.833333,6000,5000
Saskatchewan,Meadow Lake,54.129722,-108.434722,5882,4281
Alberta,Vegreville,53.5,-112.05,5813,5678
Alberta,Stettler,52.333333,-112.683333,5494,5405
Alberta,Peace River,56.233333,-117.283333,5340,4689
Ontario,New Liskeard,47.5,-79.666667,5203,5203
Ontario,Hearst,49.7,-83.666667,5043,4746
British Columbia,Creston,49.1,-116.516667,4816,4816
Ontario,Marathon,48.75,-86.366667,4627,4627
Ontario,Cochrane,49.066667,-81.016667,4441,4441
Saskatchewan,Kindersley,51.466667,-109.133333,4383,4249
Nova Scotia,Liverpool,44.038414,-64.718433,4331,4331
Saskatchewan,Melville,50.933333,-102.8,4279,4173
Newfoundland and Labrador,Channel-Port aux Basques,47.566667,-59.15,4220,2244
Newfoundland and Labrador,Deer Lake,49.183333,-57.433333,4163,3743
Quebec,Saint-Augustin,51.233333,-58.65,3961,3961
Nova Scotia,Digby,44.578466,-65.783525,3949,2052
Alberta,Jasper,52.883333,-118.083333,3907,3102
Northwest Territories,Hay River,60.85,-115.7,3900,3648
Nova Scotia,Windsor,44.958995,-64.144786,3864,3654
Saskatchewan,La Ronge,55.1,-105.3,3783,3071
Ontario,Deer Lake,52.616667,-94.066667,3743,3743
Quebec,Gaspe,48.833333,-64.483333,3677,3331
Ontario,Atikokan,48.75,-91.616667,3625,3625
Newfoundland and Labrador,Gander,48.95,-54.55,3345,3345
Alberta,Fort Chipewyan,58.716667,-111.15,3222,3222
Nova Scotia,Shelburne,43.753356,-65.246074,3167,1939
Northwest Territories,Inuvik,68.35,-133.7,3022,3022
Alberta,Lac La Biche,54.771944,-111.964722,2986,2919
British Columbia,Lillooet,50.683333,-121.933333,2893,2893
Ontario,Chapleau,47.833333,-83.4,2663,2663
British Columbia,Burns Lake,54.216667,-125.766667,2635,2631
Manitoba,Gimli,50.633333,-97,2623,2009
Alberta,Athabasca,54.716667,-113.266667,2539,2260
Manitoba,Nelson House,55.8,-98.85,2500,2500
Nunavut,Rankin Inlet,62.816667,-92.083333,2472,2334
British Columbia,Port Hardy,50.716667,-127.5,2295,2295
Saskatchewan,Biggar,52.05,-107.983333,2192,2068
Ontario,Wiarton,44.733333,-81.133333,2182,2182
Ontario,Wawa,47.99473,-84.77002,2174,2174
Saskatchewan,Hudson Bay,52.85,-102.383333,2157,1661
Quebec,Matagami,49.75,-77.633333,1966,1183
Nunavut,Arviat,61.116667,-94.05,1868,1868
Ontario,Attawapiskat,52.916667,-82.433333,1802,1802
Ontario,Red Lake,51.033333,-93.833333,1765,1765
Ontario,Moosonee,51.266667,-80.65,1725,1725
British Columbia,Tofino,49.133333,-125.9,1655,1655
Nunavut,Igloolik,69.4,-81.8,1612,1612
Quebec,Inukjuak,58.45334,-78.102493,1597,1597
Ontario,Little Current,45.966667,-81.933333,1595,1595
